train_condition,run_id,object_name,true_class_std,object_accuracy_percent,n_samples
error_trained_xyz,5,017_orange,sphere,100.0,20
error_trained_xyz,5,018_plum,sphere,100.0,20
error_trained_xyz,5,019_pitcher_base,cylinder,100.0,20
error_trained_xyz,5,025_mug,cylinder,85.0,20
error_trained_xyz,5,026_sponge,box,85.0,20
error_trained_xyz,5,036_wood_block,box,100.0,20
error_trained_xyz,5,040_large_marker,cylinder,0.0,20
error_trained_xyz,5,054_softball,sphere,100.0,20
error_trained_xyz,5,055_baseball,sphere,100.0,20
error_trained_xyz,5,056_tennis_ball,sphere,100.0,20
error_trained_xyz,5,057_racquetball,sphere,100.0,20
error_trained_xyz,5,058_golf_ball,sphere,100.0,20
error_trained_xyz,5,061_foam_brick,box,100.0,20
error_trained_xyz,5,063_a_marbles,sphere,0.0,20
error_trained_xyz,5,065_a_cups,cylinder,90.0,20
error_trained_xyz,5,077_rubiks_cube,box,100.0,20
error_trained_xyz,6,001_chips_can,cylinder,100.0,20
error_trained_xyz,6,002_master_chef_can,cylinder,100.0,20
error_trained_xyz,6,003_cracker_box,box,90.0,20
error_trained_xyz,6,004_sugar_box,box,90.0,20
error_trained_xyz,6,005_tomato_soup_can,cylinder,90.0,20
error_trained_xyz,6,007_tuna_fish_can,cylinder,100.0,20
error_trained_xyz,6,008_pudding_box,box,80.0,20
error_trained_xyz,6,009_gelatin_box,box,90.0,20
error_trained_xyz,6,010_potted_meat_can,box,90.0,20
error_trained_xyz,6,012_strawberry,sphere,100.0,20
error_trained_xyz,6,014_lemon,sphere,100.0,20
error_trained_xyz,6,015_peach,sphere,100.0,20
error_trained_xyz,6,017_orange,sphere,100.0,20
error_trained_xyz,6,018_plum,sphere,100.0,20
error_trained_xyz,6,019_pitcher_base,cylinder,100.0,20
error_trained_xyz,6,025_mug,cylinder,95.0,20
error_trained_xyz,6,026_sponge,box,15.0,20
error_trained_xyz,6,036_wood_block,box,100.0,20
error_trained_xyz,6,040_large_marker,cylinder,0.0,20
error_trained_xyz,6,054_softball,sphere,100.0,20
error_trained_xyz,6,055_baseball,sphere,100.0,20
error_trained_xyz,6,056_tennis_ball,sphere,100.0,20
error_trained_xyz,6,057_racquetball,sphere,100.0,20
error_trained_xyz,6,058_golf_ball,sphere,100.0,20
error_trained_xyz,6,061_foam_brick,box,100.0,20
error_trained_xyz,6,063_a_marbles,sphere,0.0,20
error_trained_xyz,6,065_a_cups,cylinder,100.0,20
error_trained_xyz,6,077_rubiks_cube,box,100.0,20
error_trained_xyz,7,001_chips_can,cylinder,100.0,20
error_trained_xyz,7,002_master_chef_can,cylinder,95.0,20
error_trained_xyz,7,003_cracker_box,box,100.0,20
error_trained_xyz,7,004_sugar_box,box,100.0,20
error_trained_xyz,7,005_tomato_soup_can,cylinder,50.0,20
error_trained_xyz,7,007_tuna_fish_can,cylinder,100.0,20
error_trained_xyz,7,008_pudding_box,box,95.0,20
error_trained_xyz,7,009_gelatin_box,box,95.0,20
error_trained_xyz,7,010_potted_meat_can,box,100.0,20
error_trained_xyz,7,012_strawberry,sphere,100.0,20
error_trained_xyz,7,014_lemon,sphere,100.0,20
error_trained_xyz,7,015_peach,sphere,100.0,20
error_trained_xyz,7,017_orange,sphere,100.0,20
error_trained_xyz,7,018_plum,sphere,100.0,20
error_trained_xyz,7,019_pitcher_base,cylinder,100.0,20
error_trained_xyz,7,025_mug,cylinder,80.0,20
error_trained_xyz,7,026_sponge,box,10.0,20
error_trained_xyz,7,036_wood_block,box,100.0,20
error_trained_xyz,7,040_large_marker,cylinder,0.0,20
error_trained_xyz,7,054_softball,sphere,100.0,20
error_trained_xyz,7,055_baseball,sphere,100.0,20
error_trained_xyz,7,056_tennis_ball,sphere,100.0,20
error_trained_xyz,7,057_racquetball,sphere,100.0,20
error_trained_xyz,7,058_golf_ball,sphere,100.0,20
error_trained_xyz,7,061_foam_brick,box,100.0,20
error_trained_xyz,7,063_a_marbles,sphere,0.0,20
error_trained_xyz,7,065_a_cups,cylinder,75.0,20
error_trained_xyz,7,077_rubiks_cube,box,100.0,20
error_trained_xyz,8,001_chips_can,cylinder,100.0,20
error_trained_xyz,8,002_master_chef_can,cylinder,90.0,20
error_trained_xyz,8,003_cracker_box,box,90.0,20
error_trained_xyz,8,004_sugar_box,box,100.0,20
error_trained_xyz,8,005_tomato_soup_can,cylinder,50.0,20
error_trained_xyz,8,007_tuna_fish_can,cylinder,100.0,20
error_trained_xyz,8,008_pudding_box,box,70.0,20
error_trained_xyz,8,009_gelatin_box,box,85.0,20
error_trained_xyz,8,010_potted_meat_can,box,90.0,20
error_trained_xyz,8,012_strawberry,sphere,100.0,20
error_trained_xyz,8,014_lemon,sphere,100.0,20
error_trained_xyz,8,015_peach,sphere,100.0,20
error_trained_xyz,8,017_orange,sphere,100.0,20
error_trained_xyz,8,018_plum,sphere,100.0,20
error_trained_xyz,8,019_pitcher_base,cylinder,95.0,20
error_trained_xyz,8,025_mug,cylinder,70.0,20
error_trained_xyz,8,026_sponge,box,5.0,20
error_trained_xyz,8,036_wood_block,box,100.0,20
error_trained_xyz,8,040_large_marker,cylinder,0.0,20
error_trained_xyz,8,054_softball,sphere,100.0,20
error_trained_xyz,8,055_baseball,sphere,100.0,20
error_trained_xyz,8,056_tennis_ball,sphere,100.0,20
error_trained_xyz,8,057_racquetball,sphere,100.0,20
error_trained_xyz,8,058_golf_ball,sphere,100.0,20
error_trained_xyz,8,061_foam_brick,box,100.0,20
error_trained_xyz,8,063_a_marbles,sphere,0.0,20
error_trained_xyz,8,065_a_cups,cylinder,80.0,20
error_trained_xyz,8,077_rubiks_cube,box,100.0,20
error_trained_xyz,9,001_chips_can,cylinder,100.0,20
error_trained_xyz,9,002_master_chef_can,cylinder,100.0,20
error_trained_xyz,9,003_cracker_box,box,95.0,20
error_trained_xyz,9,004_sugar_box,box,100.0,20
error_trained_xyz,9,005_tomato_soup_can,cylinder,70.0,20
error_trained_xyz,9,007_tuna_fish_can,cylinder,100.0,20
error_trained_xyz,9,008_pudding_box,box,80.0,20
error_trained_xyz,9,009_gelatin_box,box,85.0,20
error_trained_xyz,9,010_potted_meat_can,box,75.0,20
error_trained_xyz,9,012_strawberry,sphere,100.0,20
error_trained_xyz,9,014_lemon,sphere,100.0,20
error_trained_xyz,9,015_peach,sphere,100.0,20
error_trained_xyz,9,017_orange,sphere,100.0,20
error_trained_xyz,9,018_plum,sphere,100.0,20
error_trained_xyz,9,019_pitcher_base,cylinder,95.0,20
error_trained_xyz,9,025_mug,cylinder,75.0,20
error_trained_xyz,9,026_sponge,box,40.0,20
error_trained_xyz,9,036_wood_block,box,100.0,20
error_trained_xyz,9,040_large_marker,cylinder,0.0,20
error_trained_xyz,9,054_softball,sphere,100.0,20
error_trained_xyz,9,055_baseball,sphere,100.0,20
error_trained_xyz,9,056_tennis_ball,sphere,100.0,20
error_trained_xyz,9,057_racquetball,sphere,100.0,20
error_trained_xyz,9,058_golf_ball,sphere,100.0,20
error_trained_xyz,9,061_foam_brick,box,100.0,20
error_trained_xyz,9,063_a_marbles,sphere,0.0,20
error_trained_xyz,9,065_a_cups,cylinder,60.0,20
error_trained_xyz,9,077_rubiks_cube,box,100.0,20
mixed_trained_xyz,1,001_chips_can,cylinder,100.0,20
mixed_trained_xyz,1,002_master_chef_can,cylinder,100.0,20
mixed_trained_xyz,1,003_cracker_box,box,100.0,20
mixed_trained_xyz,1,004_sugar_box,box,100.0,20
mixed_trained_xyz,1,005_tomato_soup_can,cylinder,100.0,20
mixed_trained_xyz,1,007_tuna_fish_can,cylinder,100.0,20
mixed_trained_xyz,1,008_pudding_box,box,95.0,20
mixed_trained_xyz,1,009_gelatin_box,box,100.0,20
mixed_trained_xyz,1,010_potted_meat_can,box,100.0,20
mixed_trained_xyz,1,012_strawberry,sphere,100.0,20
mixed_trained_xyz,1,014_lemon,sphere,100.0,20
mixed_trained_xyz,1,015_peach,sphere,100.0,20
mixed_trained_xyz,1,017_orange,sphere,100.0,20
mixed_trained_xyz,1,018_plum,sphere,100.0,20
mixed_trained_xyz,1,019_pitcher_base,cylinder,100.0,20
mixed_trained_xyz,1,025_mug,cylinder,90.0,20
mixed_trained_xyz,1,026_sponge,box,70.0,20
mixed_trained_xyz,1,036_wood_block,box,100.0,20
mixed_trained_xyz,1,040_large_marker,cylinder,10.0,20
mixed_trained_xyz,1,054_softball,sphere,100.0,20
mixed_trained_xyz,1,055_baseball,sphere,100.0,20
mixed_trained_xyz,1,056_tennis_ball,sphere,100.0,20
mixed_trained_xyz,1,057_racquetball,sphere,100.0,20
mixed_trained_xyz,1,058_golf_ball,sphere,100.0,20
mixed_trained_xyz,1,061_foam_brick,box,100.0,20
mixed_trained_xyz,1,063_a_marbles,sphere,0.0,20
mixed_trained_xyz,1,065_a_cups,cylinder,95.0,20
mixed_trained_xyz,1,077_rubiks_cube,box,95.0,20
mixed_trained_xyz,2,001_chips_can,cylinder,100.0,20
mixed_trained_xyz,2,002_master_chef_can,cylinder,100.0,20
mixed_trained_xyz,2,003_cracker_box,box,100.0,20
